"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2010"	"2010"	"South Dakota"	"46"	63	814180	7.7
	"2010"	"2010"	"Tennessee"	"47"	760	6346105	12.0
	"2010"	"2010"	"Texas"	"48"	1435	25145561	5.7
	"2010"	"2010"	"Utah"	"49"	396	2763885	14.3
	"2010"	"2010"	"Vermont"	"50"	82	625741	13.1
	"2010"	"2010"	"Virginia"	"51"	520	8001024	6.5
	"2010"	"2010"	"Washington"	"53"	786	6724540	11.7
	"2010"	"2010"	"West Virginia"	"54"	519	1852994	28.0
	"2010"	"2010"	"Wisconsin"	"55"	583	5686986	10.3
	"2010"	"2010"	"Wyoming"	"56"	79	563626	14.0
"Total"	"2010"	"2010"			27449	308745538	8.9
	"2011"	"2011"	"Alabama"	"01"	260	4802740	5.4
	"2011"	"2011"	"Alaska"	"02"	119	722718	16.5
	"2011"	"2011"	"Arizona"	"04"	743	6482505	11.5
	"2011"	"2011"	"Arkansas"	"05"	211	2937979	7.2
	"2011"	"2011"	"California"	"06"	3229	37691912	8.6
	"2011"	"2011"	"Colorado"	"08"	511	5116796	10.0
	"2011"	"2011"	"Connecticut"	"09"	187	3580709	5.2
	"2011"	"2011"	"Delaware"	"10"	133	907135	14.7
	"2011"	"2011"	"District of Columbia"	"11"	86	617996	13.9
	"2011"	"2011"	"Florida"	"12"	2332	19057542	12.2
	"2011"	"2011"	"Georgia"	"13"	709	9815210	7.2
	"2011"	"2011"	"Hawaii"	"15"	126	1374810	9.2
	"2011"	"2011"	"Idaho"	"16"	147	1584985	9.3
	"2011"	"2011"	"Illinois"	"17"	821	12869257	6.4
	"2011"	"2011"	"Indiana"	"18"	586	6516922	9.0
	"2011"	"2011"	"Iowa"	"19"	285	3062309	9.3
	"2011"	"2011"	"Kansas"	"20"	255	2871238	8.9
	"2011"	"2011"	"Kentucky"	"21"	707	4369356	16.2
	"2011"	"2011"	"Louisiana"	"22"	134	4574836	2.9
	"2011"	"2011"	"Maine"	"23"	152	1328188	11.4
	"2011"	"2011"	"Maryland"	"24"	473	5828289	8.1
	"2011"	"2011"	"Massachusetts"	"25"	631	6587536	9.6
	"2011"	"2011"	"Michigan"	"26"	801	9876187	8.1
	"2011"	"2011"	"Minnesota"	"27"	608	5344861	11.4
	"2011"	"2011"	"Mississippi"	"28"	124	2978512	4.2
	"2011"	"2011"	"Missouri"	"29"	650	6010688	10.8
	"2011"	"2011"	"Montana"	"30"	121	998199	12.1
	"2011"	"2011"	"Nebraska"	"31"	114	1842641	6.2
	"2011"	"2011"	"Nevada"	"32"	484	2723322	17.8
	"2011"	"2011"	"New Hampshire"	"33"	160	1318194	12.1
	"2011"	"2011"	"New Jersey"	"34"	616	8821155	7.0
	"2011"	"2011"	"New Mexico"	"35"	365	2082224	17.5
	"2011"	"2011"	"New York"	"36"	1610	19465197	8.3
	"2011"	"2011"	"North Carolina"	"37"	874	9656401	9.1
	"2011"	"2011"	"North Dakota"	"38"	92	683932	13.5
	"2011"	"2011"	"Ohio"	"39"	1259	11544951	10.9
	"2011"	"2011"	"Oklahoma"	"40"	550	3791508	14.5
	"2011"	"2011"	"Oregon"	"41"	726	3871859	18.8
	"2011"	"2011"	"Pennsylvania"	"42"	876	12742886	6.9
	"2011"	"2011"	"Rhode Island"	"44"	133	1051302	12.7
	"2011"	"2011"	"South Carolina"	"45"	340	4679230	7.3
	"2011"	"2011"	"South Dakota"	"46"	73	824082	8.9
	"2011"	"2011"	"Tennessee"	"47"	805	6403353	12.6
	"2011"	"2011"	"Texas"	"48"	1461	25674681	5.7
	"2011"	"2011"	"Utah"	"49"	462	2817222	16.4
	"2011"	"2011"	"Vermont"	"50"	87	626431	13.9
	"2011"	"2011"	"Virginia"	"51"	711	8096604	8.8
	"2011"	"2011"	"Washington"	"53"	832	6830038	12.2
	"2011"	"2011"	"West Virginia"	"54"	642	1855364	34.6
	"2011"	"2011"	"Wisconsin"	"55"	597	5711767	10.5
	"2011"	"2011"	"Wyoming"	"56"	66	568158	11.6
"Total"	"2011"	"2011"			29076	311591917	9.3
	"2012"	"2012"	"Alabama"	"01"	228	4822023	4.7
	"2012"	"2012"	"Alaska"	"02"	111	731449	15.2
	"2012"	"2012"	"Arizona"	"04"	790	6553255	12.1
	"2012"	"2012"	"Arkansas"	"05"	260	2949131	8.8
	"2012"	"2012"	"California"	"06"	3019	38041430	7.9
	"2012"	"2012"	"Colorado"	"08"	532	5187582	10.3
	"2012"	"2012"	"Connecticut"	"09"	177	3590347	4.9
	"2012"	"2012"	"Delaware"	"10"	118	917092	12.9
	"2012"	"2012"	"District of Columbia"	"11"	70	632323	11.1
	"2012"	"2012"	"Florida"	"12"	2069	19317568	10.7
	"2012"	"2012"	"Georgia"	"13"	696	9919945	7.0
	"2012"	"2012"	"Hawaii"	"15"	83	1392313	6.0
	"2012"	"2012"	"Idaho"	"16"	148	1595728	9.3
	"2012"	"2012"	"Illinois"	"17"	829	12875255	6.4
	"2012"	"2012"	"Indiana"	"18"	547	6537334	8.4
	"2012"	"2012"	"Iowa"	"19"	310	3074186	10.1
	"2012"	"2012"	"Kansas"	"20"	258	2885905	8.9
	"2012"	"2012"	"Kentucky"	"21"	647	4380415	14.8
	"2012"	"2012"	"Louisiana"	"22"	205	4601893	4.5
	"2012"	"2012"	"Maine"	"23"	214	1329192	16.1
	"2012"	"2012"	"Maryland"	"24"	494	5884563	8.4
	"2012"	"2012"	"Massachusetts"	"25"	614	6646144	9.2
	"2012"	"2012"	"Michigan"	"26"	771	9883360	7.8
	"2012"	"2012"	"Minnesota"	"27"	563	5379139	10.5
	"2012"	"2012"	"Mississippi"	"28"	130	2984926	4.4
	"2012"	"2012"	"Missouri"	"29"	636	6021988	10.6
	"2012"	"2012"	"Montana"	"30"	121	1005141	12.0
	"2012"	"2012"	"Nebraska"	"31"	115	1855525	6.2
	"2012"	"2012"	"Nevada"	"32"	477	2758931	17.3
	"2012"	"2012"	"New Hampshire"	"33"	159	1320718	12.0
	"2012"	"2012"	"New Jersey"	"34"	584	8864590	6.6
	"2012"	"2012"	"New Mexico"	"35"	420	2085538	20.1
	"2012"	"2012"	"New York"	"36"	1562	19570261	8.0
	"2012"	"2012"	"North Carolina"	"37"	873	9752073	9.0
	"2012"	"2012"	"North Dakota"	"38"	92	699628	13.1
	"2012"	"2012"	"Ohio"	"39"	1130	11544225	9.8
	"2012"	"2012"	"Oklahoma"	"40"	608	3814820	15.9
	"2012"	"2012"	"Oregon"	"41"	688	3899353	17.6
	"2012"	"2012"	"Pennsylvania"	"42"	852	12763536	6.7
	"2012"	"2012"	"Rhode Island"	"44"	179	1050292	17.0
	"2012"	"2012"	"South Carolina"	"45"	304	4723723	6.4
	"2012"	"2012"	"South Dakota"	"46"	81	833354	9.7
	"2012"	"2012"	"Tennessee"	"47"	830	6456243	12.9
	"2012"	"2012"	"Texas"	"48"	1463	26059203	5.6
	"2012"	"2012"	"Utah"	"49"	533	2855287	18.7
	"2012"	"2012"	"Vermont"	"50"	90	626011	14.4
	"2012"	"2012"	"Virginia"	"51"	610	8185867	7.5
	"2012"	"2012"	"Washington"	"53"	897	6897012	13.0
	"2012"	"2012"	"West Virginia"	"54"	593	1855413	32.0
	"2012"	"2012"	"Wisconsin"	"55"	580	5726398	10.1
	"2012"	"2012"	"Wyoming"	"56"	87	576412	15.1
"Total"	"2012"	"2012"			28447	313914040	9.1
	"2013"	"2013"	"Alabama"	"01"	221	4833722	4.6
	"2013"	"2013"	"Alaska"	"02"	115	735132	15.6
	"2013"	"2013"	"Arizona"	"04"	799	6626624	12.1
	"2013"	"2013"	"Arkansas"	"05"	272	2959373	9.2
	"2013"	"2013"	"California"	"06"	3308	38332521	8.6
	"2013"	"2013"	"Colorado"	"08"	590	5268367	11.2
	"2013"	"2013"	"Connecticut"	"09"	327	3596080	9.1
